study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	study_alias	run_alias	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title	nominal_sdev
PRJEB19338	SAMEA80425168	ERS1545348	ERX1885595	ERR1823091	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	11L_F0	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-08-02-2017-08:13:24:095-5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/001/ERR1823091/ERR1823091.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/001/ERR1823091/ERR1823091_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/001/ERR1823091/ERR1823091_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1823091/p11L_F0_Nuc.bam		11L_F0	VA1	0
PRJEB19338	SAMEA80425918	ERS1545349	ERX1885596	ERR1823092	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	11M	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-08-02-2017-08:13:24:095-6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/002/ERR1823092/ERR1823092.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/002/ERR1823092/ERR1823092_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/002/ERR1823092/ERR1823092_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1823092/p11M_Nuc.bam		11M	MD1	0
PRJEB19338	SAMEA80426668	ERS1545350	ERX1885597	ERR1823093	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	11N	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-08-02-2017-08:13:24:095-7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/003/ERR1823093/ERR1823093.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/003/ERR1823093/ERR1823093_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/003/ERR1823093/ERR1823093_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1823093/p11N_Nuc.bam		11N	MD4	0
PRJEB19338	SAMEA80427418	ERS1545351	ERX1885598	ERR1823094	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	11O	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-08-02-2017-08:13:24:095-8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/004/ERR1823094/ERR1823094.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/004/ERR1823094/ERR1823094_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/004/ERR1823094/ERR1823094_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1823094/p11O_Nuc.bam		11O	NJ1	0
PRJEB19338	SAMEA80428168	ERS1545352	ERX1885599	ERR1823095	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	11P	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-08-02-2017-08:13:24:095-9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/005/ERR1823095/ERR1823095.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/005/ERR1823095/ERR1823095_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/005/ERR1823095/ERR1823095_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1823095/p11P_Nuc.bam		11P	MD2	0
PRJEB19338	SAMEA80428918	ERS1545353	ERX1885600	ERR1823096	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	11Q	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-08-02-2017-08:13:24:095-10	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/006/ERR1823096/ERR1823096.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/006/ERR1823096/ERR1823096_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/006/ERR1823096/ERR1823096_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1823096/p11Q_Nuc.bam		11Q	MD3	0
PRJEB19338	SAMEA80429668	ERS1545354	ERX1885601	ERR1823097	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	11R	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-08-02-2017-08:13:24:095-11	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/007/ERR1823097/ERR1823097.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/007/ERR1823097/ERR1823097_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/007/ERR1823097/ERR1823097_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1823097/p11R_Nuc.bam		11R	WV1	0
PRJEB19338	SAMEA80430418	ERS1545355	ERX1885602	ERR1823098	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	11S	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-08-02-2017-08:13:24:096-12	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/008/ERR1823098/ERR1823098.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/008/ERR1823098/ERR1823098_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/008/ERR1823098/ERR1823098_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1823098/p11S_Nuc.bam		11S	PA1	0
PRJEB19338	SAMEA80431168	ERS1545356	ERX1885603	ERR1823099	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	11T	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-08-02-2017-08:13:24:096-13	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/009/ERR1823099/ERR1823099.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/009/ERR1823099/ERR1823099_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/009/ERR1823099/ERR1823099_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1823099/p11T_Nuc.bam		11T	PA3	0
PRJEB19338	SAMEA80431918	ERS1545357	ERX1885604	ERR1823100	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	11U	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-08-02-2017-08:13:24:096-14	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/000/ERR1823100/ERR1823100.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/000/ERR1823100/ERR1823100_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/000/ERR1823100/ERR1823100_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1823100/p11U_Nuc.bam		11U	NY6	0
PRJEB19338	SAMEA80432668	ERS1545358	ERX1885605	ERR1823101	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	11V	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-08-02-2017-08:13:24:096-15	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/001/ERR1823101/ERR1823101.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/001/ERR1823101/ERR1823101_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/001/ERR1823101/ERR1823101_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1823101/p11V_Nuc.bam		11V	NY4	0
PRJEB19338	SAMEA80433418	ERS1545359	ERX1885606	ERR1823102	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	11W	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-08-02-2017-08:13:24:096-16	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/002/ERR1823102/ERR1823102.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/002/ERR1823102/ERR1823102_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/002/ERR1823102/ERR1823102_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1823102/p11W_Nuc.bam		11W	WI1	0
PRJEB19338	SAMEA80434168	ERS1545360	ERX1885607	ERR1823103	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	11X	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-08-02-2017-08:13:24:096-17	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/003/ERR1823103/ERR1823103.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/003/ERR1823103/ERR1823103_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/003/ERR1823103/ERR1823103_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1823103/p11X_Nuc.bam		11X	IA2	0
PRJEB19338	SAMEA80434918	ERS1545361	ERX1885608	ERR1823104	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	11Y	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-08-02-2017-08:13:24:096-18	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/004/ERR1823104/ERR1823104.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/004/ERR1823104/ERR1823104_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/004/ERR1823104/ERR1823104_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1823104/p11Y_Nuc.bam		11Y	ON5	0
PRJEB19338	SAMEA80435668	ERS1545362	ERX1885609	ERR1823105	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	11Z	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-08-02-2017-08:13:24:096-19	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/005/ERR1823105/ERR1823105.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/005/ERR1823105/ERR1823105_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/005/ERR1823105/ERR1823105_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1823105/p11Z_Nuc.bam		11Z	ON8	0
PRJEB19338	SAMEA80436418	ERS1545363	ERX1885610	ERR1823106	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	14C	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-08-02-2017-08:13:24:096-20	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/006/ERR1823106/ERR1823106.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/006/ERR1823106/ERR1823106_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/006/ERR1823106/ERR1823106_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1823106/p14C_Nuc.bam		14C	ON3	0
PRJEB19338	SAMEA80437168	ERS1545364	ERX1885611	ERR1823107	81972	Arabidopsis lyrata subsp. lyrata	Illumina HiSeq 2500	14E	500	PAIRED	WGS	GENOMIC	other	ena-STUDY-Universite de neuchatel-06-02-2017-13:52:57:267-240	ena-RUN-Universite de neuchatel-08-02-2017-08:13:24:096-21	ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/007/ERR1823107/ERR1823107.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/007/ERR1823107/ERR1823107_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR182/007/ERR1823107/ERR1823107_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR182/ERR1823107/p14E_Nuc.bam		14E	ON1	0
